Brokerage,Location,Contact Name,Email,Phone,Status,Date Contacted,Follow-up Date,Response,Notes
Keller Williams Greensboro,Greensboro NC,,,,,,,,,,Pending,
Allen Tate Realtors,Greensboro NC,,,,,,,,,,Pending,
Berkshire Hathaway Yost & Little,Greensboro NC,,,,,,,,,,Pending,
Coldwell Banker Advantage,Greensboro NC,,,,,,,,,,Pending,
RE/MAX Property Source,Greensboro NC,,,,,,,,,,Pending,
Century 21 Triad Realty,Greensboro NC,,,,,,,,,,Pending,
Howard Perry & Walston,Greensboro NC,,,,,,,,,,Pending,
Fonville Morisey,Greensboro NC,,,,,,,,,,Pending,
Exit Realty Greensboro,Greensboro NC,,,,,,,,,,Pending,
The Property Shop,Greensboro NC,,,,,,,,,,Pending,
Proactive Real Estate,Greensboro NC,,,,,,,,,,Pending,
Tabor Realty Group,Greensboro NC,,,,,,,,,,Pending,
Yancey Realty,Greensboro NC,,,,,,,,,,Pending,
Redfin Greensboro,Greensboro NC,,,,,,,,,,Pending,
Weichert Realtors,Greensboro NC,,,,,,,,,,Pending,
Realty Executives Triad,Greensboro NC,,,,,,,,,,Pending,
United Real Estate Triad,Greensboro NC,,,,,,,,,,Pending,
eXp Realty Triad,Greensboro NC,,,,,,,,,,Pending,
Real Broker LLC,Greensboro NC,,,,,,,,,,Pending,
HomeSmart Triad,Greensboro NC,,,,,,,,,,Pending,
Compass Greensboro,Greensboro NC,,,,,,,,,,Pending,
Opendoor Greensboro,Greensboro NC,,,,,,,,,,Pending,
Realty One Group Choice,Greensboro NC,,,,,,,,,,Pending,
Berkshire Hathaway HomeServices,Greensboro NC,,,,,,,,,,Pending,
Keller Williams Realty,Greensboro NC,,,,,,,,,,Pending,
Harry Norman REALTORS,Atlanta GA,,,,,,,,,,Pending,
Atlanta Fine Homes Sotheby's,Atlanta GA,,,,,,,,,,Pending,
Keller Williams Atlanta Midtown,Atlanta GA,,,,,,,,,,Pending,
Compass Atlanta,Atlanta GA,,,,,,,,,,Pending,
Ansley Real Estate,Atlanta GA,,,,,,,,,,Pending,
Dorsey Alston Realtors,Atlanta GA,,,,,,,,,,Pending,
RE/MAX Greater Atlanta,Atlanta GA,,,,,,,,,,Pending,
Berkshire Hathaway Georgia Properties,Atlanta GA,,,,,,,,,,Pending,
Coldwell Banker Atlanta,Atlanta GA,,,,,,,,,,Pending,
Century 21 Novus Realty,Atlanta GA,,,,,,,,,,Pending,
Douglas Elliman Real Estate,Atlanta GA,,,,,,,,,,Pending,
Corcoran Group Atlanta,Atlanta GA,,,,,,,,,,Pending,
eXp Realty Atlanta,Atlanta GA,,,,,,,,,,Pending,
Redfin Atlanta,Atlanta GA,,,,,,,,,,Pending,
United Real Estate Atlanta,Atlanta GA,,,,,,,,,,Pending,
Realty One Group Atlanta,Atlanta GA,,,,,,,,,,Pending,
EXIT Realty Partners,Atlanta GA,,,,,,,,,,Pending,
Real Broker LLC Atlanta,Atlanta GA,,,,,,,,,,Pending,
HomeSmart Atlanta,Atlanta GA,,,,,,,,,,Pending,
Opendoor Atlanta,Atlanta GA,,,,,,,,,,Pending,
Weichert Realtors The Collective,Atlanta GA,,,,,,,,,,Pending,
Keller Williams Peachtree Road,Atlanta GA,,,,,,,,,,Pending,
Berkshire Hathaway HomeServices,Atlanta GA,,,,,,,,,,Pending,
Realty Executives Atlanta,Atlanta GA,,,,,,,,,,Pending,
Allen Tate Realtors Atlanta,Atlanta GA,,,,,,,,,,Pending,
